pais_codigo,pais_nombre,anio,pib_usd,crecimiento_pib_pct,pib_per_capita_usd,inflacion_pct,desempleo_pct,exportaciones_pct_pib,importaciones_pct_pib,fecha_extraccion,region,es_colombia
CO,Colombia,2007,206229540926.312,6.73819469090975,4769.926147194,5.54438485815156,11.204,16.4331421263646,20.6657549719257,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2008,242504150472.931,3.28344618616541,5541.83629665898,6.99688495554511,11.273,18.1095951350739,21.0580542813616,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2009,232468663109.595,1.13964864548062,5250.97292433518,4.20251661216482,12.066,16.4244956875755,18.731632819883,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2010,286498534094.963,4.49465897070922,6398.2958447102,2.27200227892008,11.153,16.3408447597691,17.923758408999,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2011,334966134804.887,6.94789198173555,7400.9940695669,3.4150334477625,10.288,19.2765050733171,20.1939184812196,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2012,370691143018.039,3.91263576716115,8108.59838244229,3.16930188840055,9.959,18.8112052836654,20.0239457350035,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2013,382093697077.685,5.13399351995672,8279.10255642981,2.01699224310383,9.246,18.0864397214368,19.9002090764088,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2014,381240864422.407,4.49903000110972,8187.20824890084,2.89883787761738,8.799,16.6347491096509,20.8527165314594,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2015,293492370193.166,2.95590137527523,6248.51490534512,4.9898311584953,8.572,15.6502115094968,22.7105526089485,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2016,282720100286.228,2.08738250162794,5959.84250367574,7.51346024627675,8.922,14.7171392781975,21.4855137060045,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2017,311866875156.879,1.35936086788746,6479.53231292429,4.31431325695011,9.086,15.1452897484005,20.1376251940583,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2018,334198218098.276,2.56432428277704,6816.96818309544,3.24056932930569,9.36,15.8997196775431,20.6350331193542,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2019,323031701192.84,3.18685539245533,6472.54544924705,3.52301932741447,10.28,15.8680386541241,21.6904953267149,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2020,270348342541.465,-7.18591413760859,5339.68711357943,2.52663500084706,15.983,13.5222755593302,20.5332954086799,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2021,318524633225.395,10.8011981904878,6222.62164397614,3.49505757399448,13.898,16.1970059548864,23.8621404387264,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2022,345632492851.448,7.32827729427979,6680.44506854481,10.1772313546166,10.541,20.3883679938331,27.8942871185028,2026-03-05T21:35:13.377882,América Latina,True
CO,Colombia,2023,366291836137.916,0.712380031974334,7000.83660501046,11.7359044948689,9.591,17.8316784070298,22.5564540863658,2026-03-05T21:35:13.377882,América Latina,True
MX,Mexico,2000,742061329749.127,5.02928399378261,7524.0271380091,9.49156149435403,2.646,24.2311734681303,25.6792357191195,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2001,796064590549.136,-0.450845253215945,7952.76479510706,6.36773806235037,2.627,21.5412102050357,23.1988988072816,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2002,810666116401.915,-0.236588001922641,7983.03398381759,5.03072733151295,3.003,21.8517619236376,23.3580673360145,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2003,765549967703.273,1.18554486709559,7434.0746485155,4.54690012118718,3.455,23.6555935090553,25.0448233717828,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2004,819459227375.022,3.56544100946846,7849.66759649565,4.68840884843143,3.937,25.1033560080055,26.9372640255577,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2005,917571853529.104,2.11324712586392,8671.75891885163,3.98805714597437,3.558,25.4870738285114,27.0755708232772,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2006,1020265057882.01,4.80501352746852,9512.63575346699,3.62946762439132,3.566,26.5547481705759,27.927367918041,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2007,1102355554971.95,2.07786393438754,10134.3327138119,3.96684905458235,3.628,26.7810613279257,28.4774630665241,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2008,1161553459715.1,0.943331863036903,10523.7685403244,5.12498274575896,3.874,27.0200612345202,29.3452206517371,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2009,943437415024.633,-6.29525055780502,8423.56933214711,5.29735584228856,5.356,26.5132697232887,28.0784724080616,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2010,1105424238731.09,4.9713345832195,9728.80078377082,4.15672722680174,5.303,29.0174601154993,30.2559244138859,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2011,1229013703416.76,3.44404505794418,10664.4944032313,3.40737824605742,5.175,30.4429662274867,31.7194210489631,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2012,1255110424817.79,3.55321075993527,10744.1335242686,4.11150981070289,4.892,31.539450391413,32.7184814985984,2026-03-05T21:35:13.377882,América Latina,False
MX,Mexico,2013,1327436290282.67,0.852101559410627,11216.8008505428,3.80639069747204,4.921,30.755800584349,31.9358741892317,2026-03-05T21:35:13.377882,América Latina,False
